 AX   BX   CX   DX   SP   BP   SI   DI  FLAGS IP
0001 ffa0 0003 0004 ffba ffc2 0000 14e5 -S-- 0188:c3           ret
0001 ffa0 0003 0004 ffbc ffc2 0000 14e5 -S-- 0097:83c406       add sp, 6
0001 ffa0 0003 0004 ffc2 ffc2 0000 14e5 -S-- 009a:8a4604       mov al, [bp+4] ;[ffc6]31
0031 ffa0 0003 0004 ffc2 ffc2 0000 14e5 -S-- 009d:98           cbw
0031 ffa0 0003 0004 ffc2 ffc2 0000 14e5 -S-- 009e:e9e400       jmp 0185
0031 ffa0 0003 0004 ffc2 ffc2 0000 14e5 -S-- 0185:89ec         mov sp, bp
0031 ffa0 0003 0004 ffc2 ffc2 0000 14e5 -S-- 0187:5d           pop bp
0031 ffa0 0003 0004 ffc4 ffcc 0000 14e5 -S-- 0188:c3           ret
0031 ffa0 0003 0004 ffc6 ffcc 0000 14e5 -S-- 0079:5b           pop bx
0031 0031 0003 0004 ffc8 ffcc 0000 14e5 -S-- 007a:b90300       mov cx, 0003
0031 0031 0003 0004 ffc8 ffcc 0000 14e5 -S-- 007d:d3e7         shl di, cl
0031 0031 0003 0004 ffc8 ffcc 0000 a728 OS-- 007f:46           inc si
0031 0031 0003 0004 ffc8 ffcc 0001 a728 ---- 0080:ebe0         jmp short 0062
0031 0031 0003 0004 ffc8 ffcc 0001 a728 ---- 0062:83fe05       cmp si, 5
0031 0031 0003 0004 ffc8 ffcc 0001 a728 -S-C 0065:7d1b         jnl 0082
0031 0031 0003 0004 ffc8 ffcc 0001 a728 -S-C 0067:b90c00       mov cx, 000c
0031 0031 000c 0004 ffc8 ffcc 0001 a728 -S-C 006a:89fa         mov dx, di
0031 0031 000c a728 ffc8 ffcc 0001 a728 -S-C 006c:d3fa         sar dx, cl
0031 0031 000c fffa ffc8 ffcc 0001 a728 -S-- 006e:81e20700     and dx, 0007
0031 0031 000c 0002 ffc8 ffcc 0001 a728 ---- 0072:83c230       add dx, 30
0031 0031 000c 0032 ffc8 ffcc 0001 a728 ---- 0075:52           push dx
0031 0031 000c 0032 ffc6 ffcc 0001 a728 ---- 0076:e80c00       call 0085
0031 0031 000c 0032 ffc4 ffcc 0001 a728 ---- 0085:55           push bp
0031 0031 000c 0032 ffc2 ffcc 0001 a728 ---- 0086:89e5         mov bp, sp
0031 0031 000c 0032 ffc2 ffc2 0001 a728 ---- 0088:b80100       mov ax, 0001
0001 0031 000c 0032 ffc2 ffc2 0001 a728 ---- 008b:50           push ax
0001 0031 000c 0032 ffc0 ffc2 0001 a728 ---- 008c:8d4604       lea ax, [bp+4] ;[ffc6]0032
ffc6 0031 000c 0032 ffc0 ffc2 0001 a728 ---- 008f:50           push ax
ffc6 0031 000c 0032 ffbe ffc2 0001 a728 ---- 0090:b80100       mov ax, 0001
0001 0031 000c 0032 ffbe ffc2 0001 a728 ---- 0093:50           push ax
0001 0031 000c 0032 ffbc ffc2 0001 a728 ---- 0094:e84500       call 00dc
0001 0031 000c 0032 ffba ffc2 0001 a728 ---- 00dc:e92100       jmp 0100
0001 0031 000c 0032 ffba ffc2 0001 a728 ---- 0100:55           push bp
0001 0031 000c 0032 ffb8 ffc2 0001 a728 ---- 0101:89e5         mov bp, sp
0001 0031 000c 0032 ffb8 ffb8 0001 a728 ---- 0103:83ec18       sub sp, 18
0001 0031 000c 0032 ffa0 ffb8 0001 a728 -S-- 0106:8b5604       mov dx, [bp+4] ;[ffbc]0001
0001 0031 000c 0001 ffa0 ffb8 0001 a728 -S-- 0109:8956ec       mov [bp-14], dx ;[ffa4]0001
0001 0031 000c 0001 ffa0 ffb8 0001 a728 -S-- 010c:8b5608       mov dx, [bp+8] ;[ffc0]0001
0001 0031 000c 0001 ffa0 ffb8 0001 a728 -S-- 010f:8956ee       mov [bp-12], dx ;[ffa6]0001
0001 0031 000c 0001 ffa0 ffb8 0001 a728 -S-- 0112:8b5606       mov dx, [bp+6] ;[ffbe]ffc6
0001 0031 000c ffc6 ffa0 ffb8 0001 a728 -S-- 0115:8956f2       mov [bp-e], dx ;[ffaa]ffc6
0001 0031 000c ffc6 ffa0 ffb8 0001 a728 -S-- 0118:8d46e8       lea ax, [bp-18] ;[ffa0]0000
ffa0 0031 000c ffc6 ffa0 ffb8 0001 a728 -S-- 011b:50           push ax
ffa0 0031 000c ffc6 ff9e ffb8 0001 a728 -S-- 011c:b80400       mov ax, 0004
0004 0031 000c ffc6 ff9e ffb8 0001 a728 -S-- 011f:50           push ax
0004 0031 000c ffc6 ff9c ffb8 0001 a728 -S-- 0120:b80100       mov ax, 0001
0001 0031 000c ffc6 ff9c ffb8 0001 a728 -S-- 0123:50           push ax
0001 0031 000c ffc6 ff9a ffb8 0001 a728 -S-- 0124:e80600       call 012d
0001 0031 000c ffc6 ff98 ffb8 0001 a728 -S-- 012d:55           push bp
0001 0031 000c ffc6 ff96 ffb8 0001 a728 -S-- 012e:89e5         mov bp, sp
0001 0031 000c ffc6 ff96 ff96 0001 a728 -S-- 0130:56           push si
0001 0031 000c ffc6 ff94 ff96 0001 a728 -S-- 0131:57           push di
0001 0031 000c ffc6 ff92 ff96 0001 a728 -S-- 0132:8b7608       mov si, [bp+8] ;[ff9e]ffa0
0001 0031 000c ffc6 ff92 ff96 ffa0 a728 -S-- 0135:8b5606       mov dx, [bp+6] ;[ff9c]0004
0001 0031 000c 0004 ff92 ff96 ffa0 a728 -S-- 0138:895402       mov [si+2], dx ;[ffa2]0001
0001 0031 000c 0004 ff92 ff96 ffa0 a728 -S-- 013b:56           push si
0001 0031 000c 0004 ff90 ff96 ffa0 a728 -S-- 013c:ff7604       push [bp+4] ;[ff9a]0001
0001 0031 000c 0004 ff8e ff96 ffa0 a728 -S-- 013f:e82f00       call 0171
0001 0031 000c 0004 ff8c ff96 ffa0 a728 -S-- 0171:b90300       mov cx, 0003
0001 0031 0003 0004 ff8c ff96 ffa0 a728 -S-- 0174:eb00         jmp short 0176
0001 0031 0003 0004 ff8c ff96 ffa0 a728 -S-- 0176:55           push bp
0001 0031 0003 0004 ff8a ff96 ffa0 a728 -S-- 0177:89e5         mov bp, sp
0001 0031 0003 0004 ff8a ff8a ffa0 a728 -S-- 0179:8b4604       mov ax, [bp+4] ;[ff8e]0001
0001 0031 0003 0004 ff8a ff8a ffa0 a728 -S-- 017c:8b5e06       mov bx, [bp+6] ;[ff90]ffa0
0001 ffa0 0003 0004 ff8a ff8a ffa0 a728 -S-- 017f:cd20         int 20
<write(1, 0xffc6, 1) => 1>
0000 ffa0 0003 0004 ff8a ff8a ffa0 a728 -S-- 0181:5d           pop bp
0000 ffa0 0003 0004 ff8c ff96 ffa0 a728 -S-- 0182:c3           ret
0000 ffa0 0003 0004 ff8e ff96 ffa0 a728 -S-- 0142:5b           pop bx
0000 0001 0003 0004 ff90 ff96 ffa0 a728 -S-- 0143:5b           pop bx
0000 ffa0 0003 0004 ff92 ff96 ffa0 a728 -S-- 0144:89c7         mov di, ax
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 -S-- 0146:09ff         or di, di
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 --Z- 0148:7403         je 014d
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 --Z- 014d:837c0200     cmp [si+2], 0 ;[ffa2]0001
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 ---- 0151:7d0e         jnl 0161
0000 ffa0 0003 0004 ff92 ff96 ffa0 0000 ---- 0161:8b4402       mov ax, [si+2] ;[ffa2]0001
0001 ffa0 0003 0004 ff92 ff96 ffa0 0000 ---- 0164:e91c00       jmp 0183
0001 ffa0 0003 0004 ff92 ff96 ffa0 0000 ---- 0183:5f           pop di
0001 ffa0 0003 0004 ff94 ff96 ffa0 a728 ---- 0184:5e           pop si
0001 ffa0 0003 0004 ff96 ff96 0001 a728 ---- 0185:89ec         mov sp, bp
0001 ffa0 0003 0004 ff96 ff96 0001 a728 ---- 0187:5d           pop bp
0001 ffa0 0003 0004 ff98 ffb8 0001 a728 ---- 0188:c3           ret
0001 ffa0 0003 0004 ff9a ffb8 0001 a728 ---- 0127:83c406       add sp, 6
0001 ffa0 0003 0004 ffa0 ffb8 0001 a728 -S-- 012a:e95800       jmp 0185
0001 ffa0 0003 0004 ffa0 ffb8 0001 a728 -S-- 0185:89ec         mov sp, bp
0001 ffa0 0003 0004 ffb8 ffb8 0001 a728 -S-- 0187:5d           pop bp
0001 ffa0 0003 0004 ffba ffc2 0001 a728 -S-- 0188:c3           ret
0001 ffa0 0003 0004 ffbc ffc2 0001 a728 -S-- 0097:83c406       add sp, 6
